================================================================================
未归类药物清单
================================================================================

Health 组未归类药物（按使用频率排序）:
================================================================================

   1. 	                                                  (使用 1,760,637 次)
 482. 瑞百安	                                               (使用 987 次)
 483. 依洛尤单抗注射液	                                          (使用 987 次)
 484. 新斯的明	                                              (使用 982 次)
 485. 盐酸特拉唑嗪胶囊	                                          (使用 979 次)
 486. 泰乐	                                                (使用 979 次)
 487. 硝苯地平缓释片(ⅱ)	                                        (使用 978 次)
 488. 硝苯地平缓释片(ⅱ)(双鹤,利民,华润)	                              (使用 978 次)
 489. 注射用青霉素钠	                                           (使用 962 次)
 490. 顺阿曲库铵	                                             (使用 956 次)
 491. 托烷司琼	                                              (使用 938 次)
 492. 新活素	                                               (使用 937 次)
 493. 冻干重组人脑利钠肽	                                         (使用 937 次)
 494. 肠内营养(SP)(百普力)	                                     (使用 930 次)
 495. 利奈唑胺	                                              (使用 927 次)
 496. 水溶性维生素	                                            (使用 925 次)
 497. 葡萄糖酸钙注射液(民康)	                                      (使用 922 次)
 498. 盐酸小檗碱片(瑞阳)	                                        (使用 920 次)
 499. 罗拉	                                                (使用 919 次)
 500. 甲强龙	                                               (使用 906 次)
 501. 孟鲁司特钠	                                             (使用 905 次)
 502. 非那雄胺	                                              (使用 893 次)
 503. 氟哌噻吨美利曲辛片	                                         (使用 888 次)
 504. 复方炉甘石氧化锌(含酚炉甘石)	                                   (使用 884 次)
 505. 卡介菌纯蛋白衍生物(PPD)	                                    (使用 882 次)
 506. 马来酸曲美布汀片	                                          (使用 872 次)
 507. 援生力维	                                              (使用 872 次)
 508. 替格瑞洛	                                              (使用 870 次)
 509. 氯沙坦钾氢氯噻嗪片	                                         (使用 865 次)
 510. 脂溶性维生素	                                            (使用 863 次)
 511. 开素达	                                               (使用 862 次)
 512. 培哚普利氨氯地平片(iii)	                                    (使用 862 次)
